date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-07-31,826605803.333,230867.0,0.0,346.36,1075960.0,1812.5,194.86886623,
2017-08-01,392727515.638,76537.0,0.0,294.6,65988800.0,1112.5,51.70601851,
2017-08-02,87890625.5959,7416.0,6302360000.0,382.38,416207000.0,87.5,6.28890264,
2017-08-03,420493677.867,20909.0,7392030000.0,448.49,161518000.0,437.5,20.23473119,
2017-08-04,447588072.612,26517.0,5969720000.0,362.18,185038000.0,237.5,21.32449804,
2017-08-05,231673055.86,15194.0,3809330000.0,231.11,144043000.0,162.5,11.2242577601,
2017-08-06,191471418.992,11791.0,3497290000.0,212.18,107606000.0,812.5,9.15282496002,
2017-08-07,282773638.305,16114.0,3688360000.0,223.76,346546000.0,975.0,8.68035229999,
2017-08-08,312076697.58,12855.0,5297390000.0,321.35,274880000.0,287.5,8.44009814001,
2017-08-09,189875351.956,10798.0,5691960000.0,345.28,165032000.0,1187.5,5.51291228001,
2017-08-10,135296549.811,9949.0,5031790000.0,305.21,136637000.0,1250.0,5.30796253,
2017-08-11,189923981.943,10507.0,4548600000.0,275.88,233971000.0,837.5,4.78128428,
2017-08-12,246619061.638,7543.0,5405200000.0,327.82,126007000.0,900.0,4.60345208,
2017-08-13,89313124.2911,7814.0,5215330000.0,316.29,120722000.0,975.0,4.83887706,
2017-08-14,142244610.723,9833.0,4882720000.0,296.1,174968000.0,1137.5,5.78545113,
2017-08-15,145080302.726,7696.0,4917480000.0,298.19,133924000.0,1400.0,4.87569032,
2017-08-16,100329093.162,135552.0,4914350000.0,297.97,106436000.0,1050.0,4.35333251001,
2017-08-17,270791381.501,10813.0,4964980000.0,301.02,744605000.0,812.5,8.46124585999,
2017-08-18,696156355.575,22796.0,7565590000.0,458.67,3087490000.0,812.5,8.81946855001,
2017-08-19,850459716.681,27728.0,11498100000.0,697.04,3196230000.0,1637.5,11.99113257,
2017-08-20,476531316.965,19530.0,12742600000.0,772.42,1494020000.0,5800.0,8.876545,
2017-08-21,329069548.516,16436.0,11943100000.0,723.7,1123400000.0,9550.0,7.12165057,
2017-08-22,472089714.071,15033.0,9844620000.0,596.19,1393260000.0,10687.5,6.34074654,
2017-08-23,344970799.637,9684.0,11416800000.0,690.96,501983000.0,275.0,4.19772886,
2017-08-24,748264395.26,13311.0,11071100000.0,670.03,407177000.0,7112.5,7.21468871,
2017-08-25,375608222.577,10916.0,10365600000.0,627.06,348632000.0,8600.0,5.53354222001,
2017-08-26,266767375.951,8233.0,10616100000.0,641.88,193414000.0,8450.0,3.66496469,
2017-08-27,277237421.11,6328.0,10357000000.0,625.89,402718000.0,537.5,2.93697367999,
2017-08-28,218358917.829,10161.0,10254800000.0,619.7,216273000.0,2175.0,4.39485369,
2017-08-29,586720549.1,12858.0,9866110000.0,596.13,370017000.0,1775.0,5.11311822,
2017-08-30,762988847.786,15867.0,9092300000.0,549.32,443856000.0,1075.0,3.97986964995,
2017-08-31,198901314.438,13568.0,9538750000.0,576.25,298144000.0,1075.0,4.39237605999,
2017-09-01,221605163.699,10362.0,9740460000.0,588.4,393839000.0,1450.0,3.7594561,
2017-09-02,210947758.461,7858.0,10297000000.0,621.96,350478000.0,1675.0,2.77770443,
2017-09-03,220102637.69,7515.0,9574520000.0,578.27,344862000.0,1637.5,2.50160359,
2017-09-04,382676045.729,7599.0,10072200000.0,608.26,328957000.0,1612.5,4.31505577,
2017-09-05,305974479.97,7328.0,8527100000.0,514.9,338978000.0,1400.0,2.36431425999,
2017-09-06,383228353.182,8578.0,8964700000.0,541.28,693240000.0,1750.0,2.3711804,
2017-09-07,247855861.127,8677.0,10548500000.0,636.85,1082380000.0,2587.5,2.36196092,
2017-09-08,250514723.559,7552.0,10840500000.0,654.37,809763000.0,2350.0,1.71427558999,
2017-09-09,492029519.093,6257.0,9688150000.0,584.73,234578000.0,1975.0,1.52744926,
2017-09-10,198431982.259,5430.0,9055430000.0,546.48,289508000.0,1937.5,1.16558703,
2017-09-11,416016536.824,7256.0,8902570000.0,537.19,274712000.0,2175.0,1.20747464,
2017-09-12,269289444.334,5993.0,8934220000.0,539.03,273825000.0,2412.5,1.31772647,
2017-09-13,143767433.094,6356.0,8445540000.0,509.47,340344000.0,2150.0,1.31399,
2017-09-14,259162452.295,7296.0,8359650000.0,504.22,257431000.0,2325.0,2.22638457,
2017-09-15,272121996.663,8634.0,6126800000.0,369.49,707231000.0,2125.0,2.0176211,
2017-09-16,224446395.467,7809.0,7039590000.0,424.49,313583000.0,2137.5,1.84246263,
2017-09-17,143731606.011,5027.0,7279520000.0,438.9,221828000.0,2212.5,0.735145989998,
2017-09-18,407052193.024,8675.0,7001640000.0,422.09,458550000.0,4462.5,1.34094764,
2017-09-19,672074861.052,9520.0,7975010000.0,480.64,802321000.0,3325.0,1.42698772999,
2017-09-20,264587502.297,8099.0,8741670000.0,526.74,669264000.0,3100.0,1.38372934999,
2017-09-21,230647720.384,5859.0,7898300000.0,475.83,316731000.0,425.0,1.15108873,
2017-09-22,491961913.2,6746.0,6937170000.0,417.92,241905000.0,5125.0,1.28153827,
2017-09-23,174871724.019,5601.0,6895970000.0,415.31,189127000.0,4400.0,0.887500270001,
2017-09-24,144226129.2,6580.0,7121950000.0,428.8,114527000.0,3300.0,1.0734338,
2017-09-25,257393315.052,8976.0,6971280000.0,419.65,302272000.0,3525.0,1.36306084003,
2017-09-26,195849631.467,6464.0,7400020000.0,445.36,165303000.0,3912.5,1.09161226,
2017-09-27,411882030.487,8802.0,7343490000.0,441.86,197885000.0,3450.0,1.13267958,
2017-09-28,366934794.302,7926.0,7592000000.0,456.71,300421000.0,912.5,1.27726594,
