date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-07-26,353.154766555,454.0,321543.0,2.6e-05,982.0,7828125.0,60.0823299997,
2016-07-27,309.573555937,462.0,316670.0,2.6e-05,342.0,7715625.0,1935.90778,
2016-07-28,292.540545424,472.0,322626.0,2.6e-05,1274.0,7484375.0,3905.567495,
2016-07-29,423.974894728,499.0,322177.0,2.6e-05,645.0,7718750.0,3326.825117,
2016-07-30,1804.9635732,394.0,321548.0,2.6e-05,408.0,5875000.0,56.6032510001,
2016-07-31,438.76343369,419.0,325186.0,2.6e-05,1805.0,6590625.0,3047.305567,
2016-08-01,346.057469366,434.0,231296.0,1.9e-05,552.0,6365625.0,62.5015379993,
2016-08-02,139.514149854,406.0,236098.0,1.9e-05,384.0,6309375.0,2364.358863,
2016-08-03,121.426856806,430.0,207668.0,1.7e-05,237.0,6456250.0,59.0635349999,
2016-08-04,1224.52600052,439.0,222823.0,1.8e-05,923.0,6453125.0,6059.031726,
2016-08-05,825.987373952,449.0,276235.0,2.2e-05,926.0,6368750.0,60.3248650015,
2016-08-06,203.55289131,364.0,231712.0,1.9e-05,177.0,6400000.0,53.870402,
2016-08-07,687.487790789,284.0,250225.0,2e-05,1313.0,6378125.0,43709.289104,
2016-08-08,1189.57485161,259.0,234890.0,1.9e-05,430.0,6196875.0,15997.629325,
2016-08-09,231.117913362,296.0,251670.0,2e-05,314.0,6406250.0,44.0773699998,
2016-08-10,124.068421956,253.0,226585.0,1.8e-05,579.0,6418750.0,10622.257356,
2016-08-11,218.654008841,265.0,260599.0,2.1e-05,815.0,6393750.0,38.6238620003,
2016-08-12,194.898826038,301.0,225177.0,1.8e-05,272.0,6462500.0,4268.009916,
2016-08-13,136.04351588,226.0,245732.0,2e-05,1266.0,6431250.0,35.198381,
2016-08-14,118.220784961,313.0,220091.0,1.8e-05,252.0,6462500.0,42.5785580001,
2016-08-15,344.080315831,346.0,215489.0,1.7e-05,251.0,6500000.0,5869.571648,
2016-08-16,451.927609051,363.0,219274.0,1.8e-05,4586.0,6506250.0,6028.695258,
2016-08-17,2143.51023252,378.0,215670.0,1.7e-05,951.0,7125000.0,59.5054249966,
2016-08-18,166.392618729,306.0,226536.0,1.8e-05,2278.0,6684375.0,42608.920555,
2016-08-19,1185.33954679,233.0,285846.0,2.3e-05,899.0,5459375.0,41.1454789978,
2016-08-20,113.079594319,225.0,224764.0,1.8e-05,466.0,4859375.0,33.932488,
2016-08-21,179.68080566,237.0,289759.0,2.3e-05,523.0,5525000.0,5072.266776,
2016-08-22,232.108885531,273.0,289448.0,2.3e-05,472.0,6321875.0,41.1446549997,
2016-08-23,187.239161678,271.0,222636.0,1.8e-05,293.0,6415625.0,44550.217588,
2016-08-24,263.290439406,269.0,221808.0,1.8e-05,197.0,6250000.0,32934.965964,
2016-08-25,130.653484166,286.0,218960.0,1.8e-05,91.0,5659375.0,6300.604152,
2016-08-26,98.5217967969,227.0,220054.0,1.8e-05,46.0,4871875.0,33.2438060001,
2016-08-27,107.411199022,207.0,219250.0,1.8e-05,101.0,5159375.0,1217.970628,
2016-08-28,130.589739049,292.0,215468.0,1.7e-05,365.0,5096875.0,40.056033,
2016-08-29,680.475212876,250.0,216950.0,1.7e-05,948.0,5831250.0,5477.796439,
2016-08-30,243.42883691,244.0,286127.0,2.3e-05,830.0,5553125.0,48.2073529992,
2016-08-31,152.026583921,204.0,316463.0,2.5e-05,738.0,4868750.0,33.085904,
2016-09-01,220.892108921,265.0,258054.0,2.1e-05,887.0,5909375.0,39.1830800001,
2016-09-02,125.293879541,256.0,220050.0,1.8e-05,266.0,6225000.0,915.535088,
2016-09-03,210.855748019,385.0,249103.0,2e-05,83.0,6096875.0,50.7665020001,
2016-09-04,146.062902656,280.0,225500.0,1.8e-05,213.0,6090625.0,954.901001,
2016-09-05,2203.4878671,465.0,234375.0,1.9e-05,1645.0,6325000.0,5220.607317,
2016-09-06,170.677448091,288.0,228498.0,1.8e-05,532.0,6075000.0,4015.667968,
2016-09-07,124.753122354,268.0,241437.0,1.9e-05,606.0,6368750.0,1080.121909,
2016-09-08,184.694078661,247.0,306928.0,2.4e-05,69.0,6250000.0,2818.630597,
2016-09-09,94.7182644025,219.0,263242.0,2.1e-05,195.0,5628125.0,32.0898479999,
2016-09-10,293.284687496,263.0,245009.0,1.9e-05,412.0,6406250.0,4107.645853,
2016-09-11,889.398717376,320.0,312068.0,2.5e-05,700.0,6421875.0,8862.468771,
2016-09-12,247.572305635,274.0,378243.0,3e-05,178.0,6378125.0,934.080864,
2016-09-13,161.136326889,316.0,302260.0,2.4e-05,253.0,6412500.0,1821.451869,
2016-09-14,283.845883997,294.0,304712.0,2.4e-05,694.0,6475000.0,3150.094518,
2016-09-15,572.786660097,353.0,307724.0,2.4e-05,719.0,6693750.0,933.966391001,
2016-09-16,1243.76745922,377.0,264553.0,2.1e-05,9072.0,6837500.0,3562.917234,
2016-09-17,1661.70271526,371.0,384118.0,3e-05,3680.0,6593750.0,461.899883999,
2016-09-18,8774.34260416,350.0,531641.0,4.2e-05,1874.0,6728125.0,991.136585002,
2016-09-19,1170.16261138,366.0,386361.0,3.1e-05,3695.0,7378125.0,61.9304130021,
2016-09-20,902.349166131,403.0,384508.0,3e-05,3200.0,8000000.0,867.675666999,
2016-09-21,822.883184099,428.0,310087.0,2.5e-05,1558.0,8012500.0,2568.918791,
2016-09-22,267.688130491,394.0,302206.0,2.4e-05,1446.0,8046875.0,3006.379987,
2016-09-23,303.467477575,435.0,376134.0,3e-05,665.0,7918750.0,1868.119034,
2016-09-24,276.071494709,440.0,380386.0,3e-05,353.0,7890625.0,2035.434708,
2016-09-25,793.551824814,411.0,305628.0,2.4e-05,355.0,7715625.0,58.6259659999,
2016-09-26,244.139981751,476.0,304825.0,2.4e-05,138.0,7984375.0,63.9738480001,
2016-09-27,212.311204206,415.0,308680.0,2.4e-05,1276.0,7762500.0,905.922514,
2016-09-28,319.53490942,344.0,307915.0,2.4e-05,521.0,7903125.0,3004.750257,
2016-09-29,1733.2571606,375.0,370838.0,2.9e-05,974.0,8006250.0,2006.176065,
2016-09-30,330.944230826,408.0,308063.0,2.4e-05,722.0,8081250.0,15463.933321,
2016-10-01,2595.25033499,455.0,310315.0,2.4e-05,2089.0,8071875.0,65.0339120005,
2016-10-02,30852.287307,354.0,312552.0,2.5e-05,488.0,7993750.0,53.6512802141,
2016-10-03,1962.59865468,518.0,310538.0,2.4e-05,453.0,8000000.0,1049.500603,
2016-10-04,733.155019284,575.0,311514.0,2.4e-05,305.0,7903125.0,1052.407763,
2016-10-05,331.449065033,383.0,305401.0,2.4e-05,269.0,7559375.0,52.9819269998,
2016-10-06,228.645875202,421.0,315323.0,2.5e-05,1426.0,7353125.0,938.13695,
2016-10-07,163.194716881,388.0,313136.0,2.5e-05,235.0,6043275.0,53.376056,
2016-10-08,298.84203048,465.0,317591.0,2.5e-05,627.0,3953040.0,940.692501001,
2016-10-09,139.148676546,400.0,316497.0,2.5e-05,635.0,3781440.0,55.168993,
2016-10-10,118.852269445,363.0,315383.0,2.5e-05,1691.0,3715920.0,51.291204,
2016-10-11,114.491123936,399.0,316514.0,2.5e-05,523.0,3937440.0,1295.031684,
2016-10-12,124.737943899,460.0,327906.0,2.6e-05,1993.0,3887520.0,65.701382,
2016-10-13,96.3630745967,633.0,245065.0,1.9e-05,389.0,3875040.0,1459.777889,
2016-10-14,602.743689898,419.0,325334.0,2.5e-05,153.0,3692520.0,59.4018739999,
2016-10-15,24101.653847,374.0,250227.0,2e-05,610.0,3800160.0,10974.5699639,
2016-10-16,375.297891401,348.0,326819.0,2.6e-05,2180.0,3717480.0,47.2983070005,
2016-10-17,440.40907866,426.0,328362.0,2.6e-05,698.0,3650400.0,57.1137449999,
